Name,Image,Category,Location,About,Email,Phone,Website,Instagram,Facebook
"Shangri-La Hotel, Bangkok","https://london.bridestory.com/images/c_fill,dpr_1.0,f_auto,fl_progressive,h_160,pg_1,q_80,w_160/v1/assets/2_mzbvln/shangri-la-hotel-bangkok.jpg",Venue,"Bangkok, TH",,events.slbk@shangri-la.com,+66623564649,http://weddings.shangri-la.com/ContactUs-Enquiries,https://www.instagram.com/shangrilabkk,https://www.facebook.com/shangrilabkk/
Millennium Hilton Bangkok,"https://london.bridestory.com/images/c_fill,dpr_1.0,f_auto,fl_progressive,h_160,pg_1,q_80,w_160/v1/assets/Logo_Millenmium_Hilton_Bangkok_kcafhf/millennium-hilton-bangkok.jpg",Venue,"Bangkok, TH",,Yuppares.Chantanachuklin@hilton.com,+6624422304,www.bangkok.hilton.com,,
Conrad Bangkok,"https://london.bridestory.com/images/c_fill,dpr_1.0,f_auto,fl_progressive,h_160,pg_1,q_80,w_160/v1/assets/Logo9x9_gbckkl/conrad-bangkok.jpg",Venue,"Bangkok, TH",,Bkkci.info@conradhotels.com,+6626909293,,,
Hilton Pattaya,"https://london.bridestory.com/images/c_fill,dpr_1.0,f_auto,fl_progressive,h_160,pg_1,q_80,w_160/v1/assets/Hilton_Pattaya_logo_llq0kw/hilton-pattaya.jpg",Venue,"Pattaya, TH",,Pabhada.sungkapo@hilton.com,+6638253000,,,
Millennium Hilton Bangkok,"https://london.bridestory.com/images/c_fill,dpr_1.0,f_auto,fl_progressive,h_160,pg_1,q_80,w_160/v1/assets/Logo_Millenmium_Hilton_Bangkok_kcafhf/millennium-hilton-bangkok.jpg",Venue,"Bangkok, TH",,Yuppares.Chantanachuklin@hilton.com,+6624422304,www.bangkok.hilton.com,,
The Park East,"https://london.bridestory.com/images/c_fill,dpr_1.0,f_auto,fl_progressive,h_160,pg_1,q_80,w_160/v1/assets/tpecws-1-resize-ry5vvsvws-BkKL_IOPr/the-park-east.jpg",Venue,"Bangkok, TH",,info@theparkeast.co,+66 894493249,www.theparkeast.co,https://www.instagram.com/vanchitsakdanon,https://facebook.com/theparkeast
Novotel Bangkok Sukhumvit 20,"https://london.bridestory.com/images/c_fill,dpr_1.0,f_auto,fl_progressive,h_160,pg_1,q_80,w_160/v1/assets/logo-HJ15SLD0V/novotel-bangkok-sukhumvit-20.jpg",Venue,"Bangkok, TH","Novotel Bangkok Sukhumvit 20 offers all the superb facilities, centrally located in the heart of Sukhumvit, Bangkok’s most vibrant district and only 30 minutes’ drive from Suvarnabhumi International Airport, it is surrounded by all the life, excitement and energy that the city is famed for, and  within easy walking distance of many attractions including Bangkok’s newest shopping district, including EmQuartier, the upmarket Emporium Department Store, Asok BTS and Sukhumvit MRT station",kumpol.tangtrakul@accor.com,+6620094999,www.novotelbangkoksukhumvit20.com,https://www.instagram.com/novotelbangkoksukhumvit20,https://www.facebook.com/NovotelBangkokSukhumvit20
Hilton Hua Hin Resort & Spa,"https://london.bridestory.com/images/c_fill,dpr_1.0,f_auto,fl_progressive,h_160,pg_1,q_80,w_160/v1/assets/20140318135537_mr8fmn/hilton-hua-hin-resort-spa.jpg",Venue,"Hua Hin, TH",,sales.huahin@hilton.com,+66891306488,,,
Impiana Resort Chaweng Noi - Koh Samui Thailand,"https://london.bridestory.com/images/c_fill,dpr_1.0,f_auto,fl_progressive,h_160,pg_1,q_80,w_160/v1/assets/img-3847-BkknnHOgB/impiana-resort-chaweng-noi-koh-samui-thailand.jpg",Venue,"Koh Samui, TH","Impiana Resort Chaweng Noi, Koh Samui Thailand is 130 meters long, and the best beach in Koh Samui.

Our wedding packages are included all your needs for your wedding such as Venues, Catering, Decorations, Banquets, Make-up & Hair Styling, Photographer, Videographer, Romantic candle light dinner, Celebrant, Monks, Long Drum, Wedding Cake, Spa, Rooms, Honeymoon Set-up, Drink, Impiana Certificate, Bouquet, Corsage, Fire Juggling, Thai Cultural Dancing and many more.",bdm.irs@impiana.com,+66808930737,www.impiana.com,,
Ban Tai Estate villas,"https://london.bridestory.com/images/c_fill,dpr_1.0,f_auto,fl_progressive,h_160,pg_1,q_80,w_160/v1/assets/logo-HyGi2XHIN/ban-tai-estate-villas.png",Venue,"Koh Samui, TH","Tranquility, beautiful sceneries, amazing sunsets and one of the best Bounty beaches Ban Tai is only 300 meters away from Ban Tai Estate! Just a perfect place for totally dreamy wedding!
Privacy, security, space complemented by an excellent service. Everything you wish for your holidays, you will find at Ban Tai Estate. 
An excellent compromise for those looking for a privacy and space of a private villa complemented by 5* hotel facilities.",bantai.manager@gmail.com,+380937581149,bantaiestate.com/en/,,https://facebook.com/bantaiestatevillas/
Samujana Villas,"https://london.bridestory.com/images/c_fill,dpr_1.0,f_auto,fl_progressive,h_160,pg_1,q_80,w_160/v1/assets/alice-and-ryan-16.08.2014-94-rk6qPy48H/samujana-villas.jpg",Venue,"Koh Samui, TH",,karen@samujana.com,+66611737330,www.samujana.com,,https://www.facebook.com/samujanavillas/
Villa Aye,"https://london.bridestory.com/images/c_fill,dpr_1.0,f_auto,fl_progressive,h_160,pg_1,q_80,w_160/v1/assets/279_1500956401-resized-ryRgHOYDL/villa-aye.jpg",Venue,"Phuket, TH","Situated on Phuket’s Millionaire’s Mile, Villa Aye’s stunning grounds, breathtaking views, luxurious fittings & outstanding service facilities are perfect for weddings of up to 150 people, making Villa Aye one of the top wedding venues in Phuket.
For more information on venue hire & accommodation costs at our Luxury 8 bedroom Villa, please contact Villa Aye Wedding & Function Venue.  There are no taxes to be added to the Villa Rates.",reservations@luxuryvillaclub.com,+85281926221,www.villaaye.com,https://www.instagram.com/villaayephuket,https://www.facebook.com/Villa-Aye-Kamala-Phuket-1664755700435108/
Conrad Koh Samui,"https://london.bridestory.com/images/c_fill,dpr_1.0,f_auto,fl_progressive,h_160,pg_1,q_80,w_160/v1/assets/Conrad_KohSamui_CMYK_CONTAINED_rtbuva/conrad-koh-samui.jpg",Venue,"Bangkok, TH","The luxury pool villa resort, Conrad Koh Samui, is situated on the south-western tip of the island, overlooking the Gulf of Thailand from unique position on a scenic hillside. Set a few steps from white-sand beach featuring stunning views of the 5-islands & sunset, the resort's secluded location is home to 81 free-standing one, two, three bedroom villas/residences, all with private terraces & infinity-pool, 3 restaurants, 2 lounges/bars, a private cellar, Conrad Spa and intimate wedding venues.",Phatthawut.Wutthipraphanphong@conradhotels.com,+66818585905,www.conradkohsamui.com,https://www.instagram.com/conradkohsamui,https://www.facebook.com/conradkohsamui/
Hilton Pattaya,,Venue,"Pattaya, TH",,Pabhada.sungkapo@hilton.com,+6638253000,,,
"Shangri-La Hotel, Bangkok","https://london.bridestory.com/images/c_fill,dpr_1.0,f_auto,fl_progressive,h_160,pg_1,q_80,w_160/v1/assets/2_mzbvln/shangri-la-hotel-bangkok.jpg",Venue,"Bangkok, TH",,events.slbk@shangri-la.com,+66623564649,http://weddings.shangri-la.com/ContactUs-Enquiries,https://www.instagram.com/shangrilabkk,https://www.facebook.com/shangrilabkk/
Hilton Hua Hin Resort & Spa,,Venue,"Hua Hin, TH",,sales.huahin@hilton.com,+66891306488,,,
Conrad Koh Samui,"https://london.bridestory.com/images/c_fill,dpr_1.0,f_auto,fl_progressive,h_160,pg_1,q_80,w_160/v1/assets/Conrad_KohSamui_CMYK_CONTAINED_rtbuva/conrad-koh-samui.jpg",Venue,"Bangkok, TH","The luxury pool villa resort, Conrad Koh Samui, is situated on the south-western tip of the island, overlooking the Gulf of Thailand from unique position on a scenic hillside. Set a few steps from white-sand beach featuring stunning views of the 5-islands & sunset, the resort's secluded location is home to 81 free-standing one, two, three bedroom villas/residences, all with private terraces & infinity-pool, 3 restaurants, 2 lounges/bars, a private cellar, Conrad Spa and intimate wedding venues.",Phatthawut.Wutthipraphanphong@conradhotels.com,+66818585905,www.conradkohsamui.com,https://www.instagram.com/conradkohsamui,https://www.facebook.com/conradkohsamui/
Villa Aye,"https://london.bridestory.com/images/c_fill,dpr_1.0,f_auto,fl_progressive,h_160,pg_1,q_80,w_160/v1/assets/279_1500956401-resized-ryRgHOYDL/villa-aye.jpg",Venue,"Phuket, TH","Situated on Phuket’s Millionaire’s Mile, Villa Aye’s stunning grounds, breathtaking views, luxurious fittings & outstanding service facilities are perfect for weddings of up to 150 people, making Villa Aye one of the top wedding venues in Phuket.
For more information on venue hire & accommodation costs at our Luxury 8 bedroom Villa, please contact Villa Aye Wedding & Function Venue.  There are no taxes to be added to the Villa Rates.",reservations@luxuryvillaclub.com,+85281926221,www.villaaye.com,https://www.instagram.com/villaayephuket,https://www.facebook.com/Villa-Aye-Kamala-Phuket-1664755700435108/
Conrad Bangkok,"https://london.bridestory.com/images/c_fill,dpr_1.0,f_auto,fl_progressive,h_160,pg_1,q_80,w_160/v1/assets/Logo9x9_gbckkl/conrad-bangkok.jpg",Venue,"Bangkok, TH",,Bkkci.info@conradhotels.com,+6626909293,,,
