Name,Image,Category,Location,About,Email,Phone,Website,Instagram,Facebook

Dreamcatchers Events,"https://london.bridestory.com/images/c_fill,dpr_1.0,f_auto,fl_progressive,h_160,pg_1,q_80,w_160/v1/assets/wedding-villa-mia-2-rJW7KAY4z/dreamcatchers-events.jpeg",Wedding Planning,"Koh Samui, TH",Wedding planning and event decoration service in Koh Samui Thailand,juhamvaris@gmail.com,+66870698511,www.dreamcatchers-events.com,https://www.instagram.com/dreamcatchers_events,https://www.facebook.com/ThailandBeachWeddings/
The Bridal Planner Thailand,"https://london.bridestory.com/images/c_fill,dpr_1.0,f_auto,fl_progressive,h_160,pg_1,q_80,w_160/v1/assets/the-bridal-planner-1531924730-r14bbR3QX/the-bridal-planner-thailand.png",Wedding Planning,"Phuket, TH",Creating unforgettable stylish destination weddings,bridalplannerphuket@gmail.com,+66800722422,http://www.thebridalplanner.co,https://www.instagram.com/thebridalplanner,http://www.facebook.com/bridalplannerphuket
Unique Wedding and Events,"https://london.bridestory.com/images/c_fill,dpr_1.0,f_auto,fl_progressive,h_160,pg_1,q_80,w_160/v1/assets/gooooooollllldddddd-B11opUL38/unique-wedding-and-events.png",Wedding Planning,"Koh Samui, TH","Unique Weddings and Events was created from my passion of delivering beautiful weddings and events. I am British and have lived in Koh Samui, Thailand for 8 years. I provide bespoke tailor made event planning for all sizes and budgets of weddings.  I manage your budget and take all the stress from a destination wedding away from you.  I was also married in Mauritius in a destination wedding so i completely understand how all my brides and grooms feel embarking on this magical journey.",tina@uniqueweddingandevents.com,+66819373998,www.uniqueweddingandevents.com/,https://www.instagram.com/uniqueweddingandevents,https://www.facebook.com/uniqueweddingandevents/
Wedding Boutique Phuket,"https://london.bridestory.com/images/c_fill,dpr_1.0,f_auto,fl_progressive,h_160,pg_1,q_80,w_160/v1/assets/Phuket_WEDDING_BOUTIQUE_logo_orq4n8/wedding-boutique-phuket.jpg",Wedding Planning,"Phuket, TH","Wedding Boutique is a Destination Wedding and Special Events Organization based in Phuket, and operating in other famous locations in Thailand. Lead by the only Italian Phuket Wedding Planner, the company will design and organize step-by-step your Unique Signature Wedding or Special Event. If you are looking for something Exclusive, Unconventional and Tailor-made you should contact Ilaire and let her make your Dream come true.",ilairewed@gmail.com,+66 930144862,http://www.weddingboutiquephuket.com,https://www.instagram.com/phuket_wedding_planner,https://www.facebook.com/weddingboutiquephuket
Wedding Idea & The Event Thailand,"https://london.bridestory.com/images/c_fill,dpr_1.0,f_auto,fl_progressive,h_160,pg_1,q_80,w_160/v1/assets/V5D32340_cms6yg/wedding-idea-the-event-thailand.jpg",Wedding Planning,"Surat (Surat Thani), TH","Wedding Idea & The Event, Thailand  is a stylish wedding planning located on Koh Samui, offering distinctive weddings for the not so average bride. We are dedicated to making your vision a reality and creating an unforgettable event. With our Full Wedding Production, we hold your hand through each and every detail � You simply show up and enjoy. Our team will begin serving you right away, creative wedding ideas, design advice and inspiration are part of Full Wedding Production...",planner@weddingideathailand.com,+66 963639146,http://www.weddingideathailand.com,https://www.instagram.com/weddingideathailand,https://www.facebook.com/WeddingIdeaThailand/
Unique Phuket Wedding Planners,"https://london.bridestory.com/images/c_fill,dpr_1.0,f_auto,fl_progressive,h_160,pg_1,q_80,w_160/v1/assets/unnamed-BkPY33KOB/unique-phuket-wedding-planners.jpg",Wedding Planning,"Phuket, TH","As Wedding Planners, we evolved from a simple Flower shop just under 5 years ago.  The shop was started by Supparin but she soon moved from the shop to work with customers online with their Wedding Flowers designs and requirements. This business blossomed and with Paul working more and more with Supparin and his own Business PC Consulting Asia. Unique Phuket Wedding Planners was created.",uniquephuket@gmail.com,+66878957026,uniquephuket.com/,https://www.instagram.com/uniquephuket,https://facebook.com/uniquephuket
SO PRODUCTION THAILAND (EVENT & WEDDING),"https://london.bridestory.com/images/c_fill,dpr_1.0,f_auto,fl_progressive,h_160,pg_1,q_80,w_160/v1/assets/19238006_1923139351294086_6098837407376558969_o_ycwqdv/so-productions-thailand-event-wedding.jpg",Wedding Planning,"Koh Samui, TH","SO PRODUCTIONS IS A PROFESSIONAL EVENTS & WEDDING MANAGEMENT FIRM BASED IN BANGKOK, PHUKET AND KOH SAMUI. BRINGING IMPECCABLE DESIGN AND METICULOUS MANAGEMENT FOR ALL THE REGION�S EVENT NEEDS. SO PRODUCTIONS BUILT BY INDUSTRY PROFESSIONALS WITH OVER A DECADE OF EXPERIENCE, WE HAVE ORGANIZED AND EXECUTED ALL KINDS OF EVENTS, PARTIES AND OTHER MARKETING EFFORTS FOR OUR VALUED CLIENTS.",info@so-productions.com,+66644566246,www.so-productions.com,https://www.instagram.com/soproductionsthailand,https://www.facebook.com/soproductionsthailand/
Dream Asia Weddings,"https://london.bridestory.com/images/c_fill,dpr_1.0,f_auto,fl_progressive,h_160,pg_1,q_80,w_160/v1/assets/CI00011_272_bnruaa/dream-asia-weddings.jpg",Wedding Planning,"Surat (Surat Thani), TH","Dream Asia Weddings is a unique Wedding Planner allowing you to organise a destination wedding in Thailand and Indonesia without having to rely solely on e-mails. Based in Singapore and having preferred suppliers in Thailand and Indonesia, they can provid",natalie@dreamasiaweddings.com,+65 81715558,http://www.dreamasiaweddings.com,,https://facebook.com/dreamasiaweddings
BLISS Events & Weddings Thailand,"https://london.bridestory.com/images/c_fill,dpr_1.0,f_auto,fl_progressive,h_160,pg_1,q_80,w_160/v1/assets/logo-bliss-2020-01-r1fKaKlrU/bliss-events-weddings-thailand.png",Wedding Planning,"Koh Samui, TH","The premier wedding planner and offer the most comprehensive services for wedding services. The most experienced wedding planner with the trust and partnership with most luxury resorts and villas on Koh Samui, Thailand.",info@blisseventthailand.com,+66897258010,www.blisseventthailand.com,https://www.instagram.com/blisseventthailand,https://www.facebook.com/blisseventthailand
Luxury Events Phuket,"https://london.bridestory.com/images/c_fill,dpr_1.0,f_auto,fl_progressive,h_160,pg_1,q_80,w_160/v1/assets/1RG8RyH0_qywdli/luxury-events-phuket.jpg",Wedding Planning,"Phuket, TH","Luxury Events Phuket are leading luxury wedding planners in Phuket, Thailand, catering for weddings, parties, vow renewals, and corporate events.  We provide reliable & seamless service both managing expectations & delivery. Our personalised step-by-step service guarantees to take the worry out of the planning as we literally aim to create peace of mind so that you can concentrate on enjoying the day.  Weddings can also be arranged internationally or other areas of Thailand.",js@luxuryeventsphuket.com,+6676325306,http://luxuryeventsphuket.com/contact.html,https://www.instagram.com/luxuryeventsphuket,https://www.facebook.com/LuxuryEventsPhuket
Dream Asia Weddings,"https://london.bridestory.com/images/c_fill,dpr_1.0,f_auto,fl_progressive,h_160,pg_1,q_80,w_160/v1/assets/CI00011_272_bnruaa/dream-asia-weddings.jpg",Wedding Planning,"Surat (Surat Thani), TH","Dream Asia Weddings is a unique Wedding Planner allowing you to organise a destination wedding in Thailand and Indonesia without having to rely solely on e-mails. Based in Singapore and having preferred suppliers in Thailand and Indonesia, they can provid",natalie@dreamasiaweddings.com,+65 81715558,http://www.dreamasiaweddings.com,,https://facebook.com/dreamasiaweddings
Perfect Senses Events,"https://london.bridestory.com/images/c_fill,dpr_1.0,f_auto,fl_progressive,h_160,pg_1,q_80,w_160/v1/assets/1520185378388-Skb-04nMS/perfect-senses-events.jpg",Wedding Planning,"Phuket, TH","Perfect Senses are a bespoke specialist event planning company in Phuket, one of our specialities is weddings, Nigel is our fully trained and certified celebrant who was trained and certified in the UK, we are offering a bespoke and personal service, we are a husband and wife team. Nigel is from the UK and Aree is Thai, both with years of business experience, vast local knowledge and plenty of common sense.
We will work with you every step of the way to ensure we deliver the required event",info@perfect-senses.com,+66 76689688,www.perfect-senses.com,https://www.instagram.com/perfectsensesevents,
The Bridal Planner Thailand,"https://london.bridestory.com/images/c_fill,dpr_1.0,f_auto,fl_progressive,h_160,pg_1,q_80,w_160/v1/assets/the-bridal-planner-1531924730-r14bbR3QX/the-bridal-planner-thailand.png",Wedding Planning,"Phuket, TH",Creating unforgettable stylish destination weddings,bridalplannerphuket@gmail.com,+66800722422,http://www.thebridalplanner.co,https://www.instagram.com/thebridalplanner,http://www.facebook.com/bridalplannerphuket
Azure Weddings,"https://london.bridestory.com/images/c_fill,dpr_1.0,f_auto,fl_progressive,h_160,pg_1,q_80,w_160/v1/assets/13453119_10154235087748210_1274410000_o_jyjovl/azure-weddings.jpg",Wedding Planning,"Surat (Surat Thani), TH","Welcome to AZURE WEDDINGS, a Koh Samui wedding planning and event consultancy specialising in a creation of bespoke destination wedding celebrations for sophisticated couples looking for a high standard of service and a first class event. I provide honest advice and guidance through all aspects of a wedding planning process to create a day that brings your vision to life whilst remaining within your allocated budget. I look forward to hearing from you. xo
petra@azure-weddings.com +6695244407",petra@azure-weddings.com,+66952844407,http://www.azure-weddings.com,https://www.instagram.com/azureweddings.samui,https://www.facebook.com/Azure-Weddings-252421591793881/?fref=ts
Beach Weddings Koh Phangan,"https://london.bridestory.com/images/c_fill,dpr_1.0,f_auto,fl_progressive,h_160,pg_1,q_80,w_160/v1/assets/file_ynszdx/beach-weddings-koh-phangan.png",Wedding Planning,"Koh Phangan, TH","Wedding & Event Planners located on Koh Phangan Thailand.  Our services include full wedding planning, decoration and on the day wedding and reception co-ordination on Koh Phangan. Beach Weddings fully understand how overwhelming planning a wedding abroad can be and with this in mind we have created a selection of wedding packages  suitable for every budget.",beachweddingsinthailand@gmail.com,+66808857268,www.beachweddingsinthailand.com,https://www.instagram.com/beach_weddings_koh_phangan,https://www.facebook.com/kohphanganbeachweddings
Perfect Senses Events,"https://london.bridestory.com/images/c_fill,dpr_1.0,f_auto,fl_progressive,h_160,pg_1,q_80,w_160/v1/assets/1520185378388-Skb-04nMS/perfect-senses-events.jpg",Wedding Planning,"Phuket, TH","Perfect Senses are a bespoke specialist event planning company in Phuket, one of our specialities is weddings, Nigel is our fully trained and certified celebrant who was trained and certified in the UK, we are offering a bespoke and personal service, we are a husband and wife team. Nigel is from the UK and Aree is Thai, both with years of business experience, vast local knowledge and plenty of common sense. We will work with you every step of the way to ensure we deliver the required event",info@perfect-senses.com,+66 76689688,www.perfect-senses.com,https://www.instagram.com/perfectsensesevents,
Phangan Weddings,"https://london.bridestory.com/images/c_fill,dpr_1.0,f_auto,fl_progressive,h_160,pg_1,q_80,w_160/v1/assets/11412326_106315739712118_1830600301294010054_n_qqckab/phangan-weddings.jpg",Wedding Planning,"Surat (Surat Thani), TH","At Phangan Weddings we understand how important it is to seamlessly turn the vision of your dream wedding into a wonderful reality. We work closely with you at all times to ensure that the most important day of your life is organized to perfection, a thoughtful reflection of your style while minimizing any stress on your part. Remember, all you have to do is to enjoy your special day. We will take care of the rest",nadine@phanganweddings.com,+66847578901,http://phanganweddings.com/,https://www.instagram.com/phanganweddings,https://www.facebook.com/phanganweddings
Belle Amour,"https://london.bridestory.com/images/c_fill,dpr_1.0,f_auto,fl_progressive,h_160,pg_1,q_80,w_160/v1/assets/409482_192300244203874_914905626_n_xw0d9f/belle-amour.jpg",Wedding Planning,"Bangkok, TH",so goooood,anne.varattha@gmail.com,+66865097212,https://www.facebook.com/bawedding/,https://www.instagram.com/rachel.mcadam,https://www.facebook.com/bawedding/
Wedding Boutique Phuket,"https://london.bridestory.com/images/c_fill,dpr_1.0,f_auto,fl_progressive,h_160,pg_1,q_80,w_160/v1/assets/Phuket_WEDDING_BOUTIQUE_logo_orq4n8/wedding-boutique-phuket.jpg",Wedding Planning,"Phuket, TH","Wedding Boutique is a Destination Wedding and Special Events Organization based in Phuket, and operating in other famous locations in Thailand. Lead by the only Italian Phuket Wedding Planner, the company will design and organize step-by-step your Unique Signature Wedding or Special Event. If you are looking for something Exclusive, Unconventional and Tailor-made you should contact Ilaire and let her make your Dream come true.",ilairewed@gmail.com,+66 930144862,http://www.weddingboutiquephuket.com,https://www.instagram.com/phuket_wedding_planner,https://www.facebook.com/weddingboutiquephuket
Samui Weddings and Events,"https://london.bridestory.com/images/c_fill,dpr_1.0,f_auto,fl_progressive,h_160,pg_1,q_80,w_160/v1/assets/Jacqui_owsgut/samui-weddings-and-events.jpg",Wedding Planning,"Surat (Surat Thani), TH","Based on the island of Koh Samui, Thailand,  Samui Weddings and Events offer you a personal and professional service. Our belief is that a wedding day should not be packaged so with this in mind we offer the chance to create a wedding day that truly reflects the personalities of both the Bride and Groom. Working with only the best vendors on the island, we will oversee every aspect of your special day to ensure that everything runs as planned.",jacqui@samuiweddingsandevents.com,+66898730017,http://www.samuiweddingsandevents.com,https://www.instagram.com/samuiweddingsandevents,https://www.facebook.com/samuiweddingsandevents/
