Cherry's  Handmade	cherrys-handmade	"https://london.bridestory.com/images/c_fill,dpr_1.0,f_auto,fl_progressive,h_160,pg_1,q_80,w_160/v1/assets/HB_tag_21.5x12_gicj2f/cherrys-handmade.jpg"	Boutonnieres & Corsages	"Surabaya, ID"
Chia.Yee.Creates	chia-yee-creates	"https://london.bridestory.com/images/c_fill,dpr_1.0,f_auto,fl_progressive,h_160,pg_1,q_80,w_160/v1/assets/bridestory-rJhMGM7RP/chia-yee-creates.jpg"	Boutonnieres & Corsages	"Singapore, SG"
bobolove cottage	bobolove-cottage	"https://london.bridestory.com/images/c_fill,dpr_1.0,f_auto,fl_progressive,h_160,pg_1,q_80,w_160/v1/assets/file_io2wiq/bobolove-cottage.png"	Boutonnieres & Corsages	"Penang, MY"
Letizia Wedding	letizia-wedding	"https://london.bridestory.com/images/c_fill,dpr_1.0,f_auto,fl_progressive,h_160,pg_1,q_80,w_160/v1/assets/bridestory_f4uhns/letizia-wedding.jpg"	Boutonnieres & Corsages	"Bali, ID"
Cup Of Love Design Studio	cup-love-design-studio	"https://london.bridestory.com/images/c_fill,dpr_1.0,f_auto,fl_progressive,h_160,pg_1,q_80,w_160/v1/assets/ALeur-206_mdifkq/cup-love-design-studio.jpg"	Boutonnieres & Corsages	"Jakarta, ID"
Delegarden Flowers	delegarden-flowers	"https://london.bridestory.com/images/c_fill,dpr_1.0,f_auto,fl_progressive,h_160,pg_1,q_80,w_160/v1/assets/delegarden-flowers-1534012065-H1T2cs2SX/delegarden-flowers.png"	Boutonnieres & Corsages	"Jakarta, ID"
Gianina Atelier	gianina-atelier	"https://london.bridestory.com/images/c_fill,dpr_1.0,f_auto,fl_progressive,h_160,pg_1,q_80,w_160/v1/assets/gianina-atelier-1530090212-B1lx7Rlzm/gianina-atelier.png"	Bridal	"Surabaya, ID"
Dewi Taufani Bridal	dewi-taufani-bridal	"https://london.bridestory.com/images/c_fill,dpr_1.0,f_auto,fl_progressive,h_160,pg_1,q_80,w_160/v1/assets/DEWITAUFANI_dan_3366_hrrifo/dewi-taufani-bridal.jpg"	Bridal	"Surabaya, ID"
Keya Bridal	keya-bridal	"https://london.bridestory.com/images/c_fill,dpr_1.0,f_auto,fl_progressive,h_160,pg_1,q_80,w_160/v1/assets/dsc01707-SkouTDPzX/keya-bridal.jpg"	Bridal	"Jakarta, ID"
Sheila Fa Makeup	sheila-fa-makeup	"https://london.bridestory.com/images/c_fill,dpr_1.0,f_auto,fl_progressive,h_160,pg_1,q_80,w_160/v1/assets/sheila-fa-makeup-1601069021-SyUklJhrD/sheila-fa-makeup.png"	Bridal	"Tangerang, ID"
Amora bridal	amora-bridal	"https://london.bridestory.com/images/c_fill,dpr_1.0,f_auto,fl_progressive,h_160,pg_1,q_80,w_160/v1/assets/file_t4svfv/amora-bridal.png"	Bridal	"Bandung, ID"
Ajphotographystudioz	Ajphotographystudioz	"https://london.bridestory.com/images/c_fill,dpr_1.0,f_auto,fl_progressive,h_160,pg_1,q_80,w_160/v1/assets/bridestory-ByCqPa7FG/Ajphotographystudioz.jpg"	Bridal	"Selangor, MY"
Hanietouch	hanietouch	"https://london.bridestory.com/images/c_fill,dpr_1.0,f_auto,fl_progressive,h_160,pg_1,q_80,w_160/v1/assets/bridestory_bktkae/hanietouch.jpg"	Bridal	"Johor, MY"
Ercella Bridal	ercella-bridal-1	"https://london.bridestory.com/images/c_fill,dpr_1.0,f_auto,fl_progressive,h_160,pg_1,q_80,w_160/v1/assets/20201018_170001-rkg8G5Kww/ercella-bridal-1.jpg"	Bridal	"Jakarta, ID"
Novi Jayanti Atelier	novi-jayanti-atelier	"https://london.bridestory.com/images/c_fill,dpr_1.0,f_auto,fl_progressive,h_160,pg_1,q_80,w_160/v1/assets/bridestory-B1orBd7-V/novi-jayanti-atelier.jpg"	Bridal	"Jakarta, ID"
Michelle Bridal	michelle-bridal	"https://london.bridestory.com/images/c_fill,dpr_1.0,f_auto,fl_progressive,h_160,pg_1,q_80,w_160/v1/assets/michelle-bridal-1560266912-BJYj_raCN/michelle-bridal.png"	Bridal	"Jakarta, ID"
Bryan Cinco Designs	bryan-cinco-designs	"https://london.bridestory.com/images/c_fill,dpr_1.0,f_auto,fl_progressive,h_160,pg_1,q_80,w_160/v1/assets/bridestory_ngblqt/bryan-cinco-designs.jpg"	Bridal	"Cavite, PH"
RedCarpet Bridal Artistry	redcarpet-bridal-artistry	"https://london.bridestory.com/images/c_fill,dpr_1.0,f_auto,fl_progressive,h_160,pg_1,q_80,w_160/v1/assets/red-rJX8GYsuQ/redcarpet-bridal-artistry.jpg"	Bridal	"Selangor, MY"
Natasya Putri Makeup Artist	natasya-putri-makeup-artist	"https://london.bridestory.com/images/c_fill,dpr_1.0,f_auto,fl_progressive,h_160,pg_1,q_80,w_160/v1/assets/bridestory-rkD1S-R88/natasya-putri-makeup-artist.jpg"	Bridal	"Surabaya, ID"
House Of Lea Bridal	house-lea-bridal	"https://london.bridestory.com/images/c_fill,dpr_1.0,f_auto,fl_progressive,h_160,pg_1,q_80,w_160/v1/assets/bride-stroy-png-HkAFoh0TP/house-lea-bridal.jpg"	Bridal	"Surabaya, ID"
ZO'E Bridal	zoe-bridal	"https://london.bridestory.com/images/c_fill,dpr_1.0,f_auto,fl_progressive,h_160,pg_1,q_80,w_160/v1/assets/zoe-bridal-1543750055-HJ33-BbJV/zoe-bridal.png"	Bridal	"Semarang, ID"
La Mariee Wedding House	la-mariee-wedding-house	"https://london.bridestory.com/images/c_fill,dpr_1.0,f_auto,fl_progressive,h_160,pg_1,q_80,w_160/v1/assets/IMG_7339.PNG_qamdam/la-mariee-wedding-house.jpg"	Bridal	"Singapore, SG"
CINCIN MAKEUP ARTIST & BRIDAL	cincin-makeup-artist	"https://london.bridestory.com/images/c_fill,dpr_1.0,f_auto,fl_progressive,h_160,pg_1,q_80,w_160/v1/assets/P_20161205_151808_BF_1_tqzmaf/cincin-makeup-artist.jpg"	Bridal	"Tangerang, ID"
Djenar Wedding	djenar-wedding	"https://london.bridestory.com/images/c_fill,dpr_1.0,f_auto,fl_progressive,h_160,pg_1,q_80,w_160/v1/assets/djenar-wedding-1573040640-HJKWf4xsH/djenar-wedding.png"	Bridal	"Jakarta, ID"
Morii Bridal	morii-bridal	"https://london.bridestory.com/images/c_fill,dpr_1.0,f_auto,fl_progressive,h_160,pg_1,q_80,w_160/v1/assets/photo_2021-02-01_12-31-18-BJaXEWSg_/morii-bridal.jpg"	Bridal	"Manado, ID"
Manish Mehandi Art	manish-mehandi-art	"https://london.bridestory.com/images/c_fill,dpr_1.0,f_auto,fl_progressive,h_160,pg_1,q_80,w_160/v1/assets/manish-mehandi-art_mehandi-artist1613160164_7-BkmRCa_bd/manish-mehandi-art.jpg"	Bridal	"Ahmedabad, IN"
Michelle Ann Bridal House	michelle-ann-bridal-house	"https://london.bridestory.com/images/c_fill,dpr_1.0,f_auto,fl_progressive,h_160,pg_1,q_80,w_160/v1/assets/logo_w6exkn/michelle-ann-bridal-house.jpg"	Bridal	"Bali, ID"
Behind the scene	behind-the-scene	"https://london.bridestory.com/images/c_fill,dpr_1.0,f_auto,fl_progressive,h_160,pg_1,q_80,w_160/v1/assets/img-20180808-wa0026-ryRU6nTcV/behind-the-scene.jpg"	Bridal	"Jakarta, ID"
"Love, Yu"	love-yu	"https://london.bridestory.com/images/c_fill,dpr_1.0,f_auto,fl_progressive,h_160,pg_1,q_80,w_160/v1/assets/LoveYu_Lookbook_Final49_bq0rvl/love-yu.jpg"	Bridal	"Singapore, SG"
MARIA NATHALIE	maria-nathalie	"https://london.bridestory.com/images/c_fill,dpr_1.0,f_auto,fl_progressive,h_160,pg_1,q_80,w_160/v1/assets/0269052fea7777079bad99a5752f0c0c046c06e0/maria-nathalie.png"	Bridal	"Jakarta, ID"
